,NO_PAI,NO,Abertura,PER,VAZAO,PROB
477,477,478,1,10,436.0,1.0
478,478,479,1,11,485.0,1.0
479,479,480,1,12,377.0,1.0
480,480,481,1,13,1127.0,1.0
481,1,482,41,2,1114.0,0.02
482,482,483,1,3,2584.0,1.0
483,483,484,1,4,1581.0,1.0
484,484,485,1,5,401.0,1.0
485,485,486,1,6,1034.0,1.0
486,486,487,1,7,436.0,1.0
487,487,488,1,8,513.0,1.0
488,488,489,1,9,480.0,1.0
489,489,490,1,10,295.0,1.0
490,490,491,1,11,494.0,1.0
491,491,492,1,12,671.0,1.0
492,492,493,1,13,1326.0,1.0
493,1,494,42,2,612.0,0.02
494,494,495,1,3,988.0,1.0
495,495,496,1,4,1758.0,1.0
496,496,497,1,5,752.0,1.0
497,497,498,1,6,471.0,1.0
498,498,499,1,7,785.0,1.0
499,499,500,1,8,674.0,1.0
500,500,501,1,9,349.0,1.0
501,501,502,1,10,354.0,1.0
502,502,503,1,11,399.0,1.0
503,503,504,1,12,525.0,1.0
504,504,505,1,13,791.0,1.0
505,1,506,43,2,3201.0,0.02
506,506,507,1,3,699.0,1.0
507,507,508,1,4,477.0,1.0
508,508,509,1,5,1075.0,1.0
509,509,510,1,6,1438.0,1.0
510,510,511,1,7,624.0,1.0
511,511,512,1,8,463.0,1.0
512,512,513,1,9,217.0,1.0
513,513,514,1,10,225.0,1.0
514,514,515,1,11,917.0,1.0
515,515,516,1,12,946.0,1.0
516,516,517,1,13,916.0,1.0
517,1,518,44,2,1919.0,0.02
518,518,519,1,3,1521.0,1.0
519,519,520,1,4,3757.0,1.0
520,520,521,1,5,480.0,1.0
521,521,522,1,6,775.0,1.0
522,522,523,1,7,478.0,1.0
523,523,524,1,8,587.0,1.0
524,524,525,1,9,284.0,1.0
525,525,526,1,10,225.0,1.0
526,526,527,1,11,330.0,1.0
527,527,528,1,12,1298.0,1.0
528,528,529,1,13,1546.0,1.0
529,1,530,45,2,1412.0,0.02
530,530,531,1,3,2221.0,1.0
531,531,532,1,4,1619.0,1.0
532,532,533,1,5,893.0,1.0
533,533,534,1,6,775.0,1.0
534,534,535,1,7,699.0,1.0
535,535,536,1,8,240.0,1.0
536,536,537,1,9,548.0,1.0
537,537,538,1,10,462.0,1.0
538,538,539,1,11,470.0,1.0
539,539,540,1,12,764.0,1.0
540,540,541,1,13,1013.0,1.0
541,1,542,46,2,1899.0,0.02
542,542,543,1,3,1999.0,1.0
543,543,544,1,4,1249.0,1.0
544,544,545,1,5,704.0,1.0
545,545,546,1,6,843.0,1.0
546,546,547,1,7,637.0,1.0
547,547,548,1,8,947.0,1.0
548,548,549,1,9,271.0,1.0
549,549,550,1,10,295.0,1.0
550,550,551,1,11,411.0,1.0
551,551,552,1,12,987.0,1.0
552,552,553,1,13,1185.0,1.0
553,1,554,47,2,3014.0,0.02
554,554,555,1,3,1268.0,1.0
555,555,556,1,4,823.0,1.0
556,556,557,1,5,724.0,1.0
557,557,558,1,6,534.0,1.0
558,558,559,1,7,577.0,1.0
559,559,560,1,8,548.0,1.0
560,560,561,1,9,486.0,1.0
561,561,562,1,10,351.0,1.0
562,562,563,1,11,516.0,1.0
563,563,564,1,12,798.0,1.0
564,564,565,1,13,791.0,1.0
565,1,566,48,2,955.0,0.02
566,566,567,1,3,662.0,1.0
567,567,568,1,4,2077.0,1.0
568,568,569,1,5,724.0,1.0
569,569,570,1,6,632.0,1.0
570,570,571,1,7,740.0,1.0
571,571,572,1,8,243.0,1.0
572,572,573,1,9,229.0,1.0
573,573,574,1,10,262.0,1.0
574,574,575,1,11,302.0,1.0
575,575,576,1,12,1343.0,1.0
576,576,577,1,13,1647.0,1.0
577,1,578,49,2,2018.0,0.02
578,578,579,1,3,1280.0,1.0
579,579,580,1,4,1467.0,1.0
580,580,581,1,5,1103.0,1.0
581,581,582,1,6,673.0,1.0
582,582,583,1,7,409.0,1.0
583,583,584,1,8,362.0,1.0
584,584,585,1,9,273.0,1.0
585,585,586,1,10,351.0,1.0
586,586,587,1,11,456.0,1.0
587,587,588,1,12,1043.0,1.0
588,588,589,1,13,1651.0,1.0
589,1,590,50,2,1568.0,0.02
590,590,591,1,3,1721.0,1.0
591,591,592,1,4,330.0,1.0
592,592,593,1,5,612.0,1.0
593,593,594,1,6,611.0,1.0
594,594,595,1,7,645.0,1.0
595,595,596,1,8,243.0,1.0
596,596,597,1,9,217.0,1.0
597,597,598,1,10,401.0,1.0
598,598,599,1,11,1822.0,1.0
599,599,600,1,12,987.0,1.0
600,600,601,1,13,1585.0,1.0
