"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"369";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;21;363,284;367,108;1,96;14,706;348,578;377,99;167,781;169,235;157,987;178,88;562,789;438,998;-0,086;-0,102;-1,505;-1,529;7,244;0,056;1;0,88;0,972;0,735;0,886;0,88;0,793
"370";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;126;661,448;666,282;1,96;17,87;643,578;679,318;203,875;203,174;191,973;217,362;562,789;438,998;-0,459;-0,452;-1,179;-1,216;7,45;0,068;0,992;0,874;0,876;0,687;0,891;0,96;0,771
"371";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;299;1252,776;1266,678;1,96;43,065;1209,711;1295,841;491,318;493,855;462,636;523,819;562,789;438,998;-0,331;-0,336;-1,269;-1,274;21,13;0,046;1;0,851;0,93;0,756;0,85;0,937;0,781
"372";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;19;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"373";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;304;0,156;0,178;1,96;0,04;0,116;0,196;0,456;0,582;0,429;0,486;562,789;438,998;3,371;3,434;12,63;11,185;0,07;0,024;1;0,798;0,006;0,731;0,801;0,513;0,697
"374";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;303;31,346;31,338;1,96;0,902;30,444;32,248;10,291;10,303;9,691;10,972;562,789;438,998;-0,741;-0,722;-0,743;-0,744;0,248;0,034;1;0,996;0,93;0,822;0,998;0,988;0,789
"375";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;1;114,29;114,29;1,96;3,117;111,173;117,407;35,559;35,176;33,483;37,911;562,789;438,998;0,732;0,758;-0,779;-0,843;1,366;0,038;0,991;1;0,041;0,06;1;0,837;0,523
"376";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;2;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"377";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;6;599,318;599,318;1,96;19,404;579,914;618,722;221,38;220,776;208,456;236,024;562,789;438,998;0,067;0,06;-0,979;-0,987;3,882;0,018;1;1;0,145;0,068;1;0,94;0,662
"378";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;7;130,332;130,332;1,96;4,171;126,161;134,503;47,589;46,915;44,811;50,737;562,789;438,998;-1,125;-1,19;-0,103;-0,079;2,239;0,044;0,961;1;0,544;0,469;1;0,804;0,784
"379";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;8;31,402;31,402;1,96;1,036;30,366;32,438;11,817;11,657;11,128;12,599;562,789;438,998;-1,232;-1,292;0,006;0,037;0,579;0,058;0,768;1;0,571;0,381;1;0,835;0,6
"380";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;9;14,344;14,344;1,96;0,532;13,812;14,876;6,064;6;5,71;6,466;562,789;438,998;-1,134;-1,164;-0,075;-0,094;0,289;0,064;0,654;1;0,656;0,523;1;0,858;0,566
"381";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;10;38,392;38,392;1,96;1,298;37,094;39,69;14,811;14,633;13,946;15,791;562,789;438,998;-1,198;-1,247;-0,043;-0,014;0,61;0,06;0,731;1;0,643;0,414;1;0,859;0,438
"382";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;11;79,58;79,58;1,96;2,457;77,123;82,037;28,033;27,604;26,397;29,888;562,789;438,998;-1,07;-1,138;-0,166;-0,118;1,217;0,046;0,943;1;0,682;0,454;1;0,806;0,345
"383";"avaliaArvores/A_50_5_2";"ClusterAssimetrico";3;246;12;184,836;184,836;1,96;5,579;179,257;190,415;63,649;63,248;59,934;67,86;562,789;438,998;-0,895;-0,919;-0,385;-0,377;1,623;0,044;0,961;1;0,983;0,948;1;0,909;0,193
