"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"89";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;191;108,764;109,116;1,96;3,341;105,423;112,105;38,118;38,042;35,893;40,639;562,789;438,998;0,549;0,515;-0,957;-0,992;0,852;0,014;1;0,905;0,966;0,915;0,917;0,964;0,157
"90";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;196;37,108;37,206;1,96;0,693;36,415;37,801;7,907;7,805;7,445;8,43;562,789;438,998;-0,482;-0,508;-0,623;-0,613;0,23;0,032;0,999;0,872;0,137;0,201;0,879;0,807;0,179
"91";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;204;2274,83;2288,258;1,96;38,632;2236,198;2313,462;440,737;444,172;415,008;469,892;562,789;438,998;0,264;0,258;-1,646;-1,628;14,612;0,052;0,87;0,696;0,578;0,31;0,749;0,779;0,602
"92";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;205;133,46;133,986;1,96;2,478;130,982;135,938;28,269;26,999;26,619;30,139;562,789;438,998;0,114;0,057;-0,973;-0,895;1,502;0,042;0,975;0,805;0,666;0,523;0,834;0,556;0,252
"93";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;206;15,618;15,62;1,96;0,605;15,013;16,223;6,905;6,858;6,502;7,362;562,789;438,998;-0,118;-0,133;-1,137;-1,129;0,11;0,008;1;0,997;0,385;0,815;0,998;0,859;0,051
"94";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;207;2,702;2,754;1,96;0,152;2,55;2,854;1,739;1,767;1,638;1,854;562,789;438,998;0,294;0,215;-0,496;-0,572;0,068;0,018;1;0,703;0,675;0,337;0,728;0,751;0,035
"95";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;209;343,536;342,402;1,96;9,196;334,34;352,732;104,916;102,986;98,791;111,856;562,789;438,998;-0,398;-0,402;-0,763;-0,737;2,95;0,018;1;0,888;0,111;0,046;0,9;0,723;0,171
"96";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;211;139,798;135,074;1,96;4,372;135,426;144,17;49,878;46,448;46,967;53,178;562,789;438,998;0,994;1,111;0,769;1,383;4,852;0,042;0,975;0,202;0,621;0,871;0,516;0,548;0,41
"97";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;215;225,422;223,074;1,96;25,502;199,92;250,924;290,948;292,014;273,964;310,195;562,789;438,998;1,833;1,839;2,145;2,197;6,84;0,032;0,999;0,917;0,696;0,798;0,927;0,968;0,201
"98";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;216;39,492;39,222;1,96;3,662;35,83;43,154;41,775;42,004;39,337;44,539;562,789;438,998;1,49;1,492;0,751;0,754;0,986;0,03;1;0,934;0,761;0,692;0,952;0,95;0,6
"99";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;217;115,868;117,074;1,96;9,522;106,346;125,39;108,63;114,99;102,288;115,816;562,789;438,998;1,555;1,622;1,098;1,269;4,334;0,026;1;0,891;0,481;0,827;0,924;0,567;0,394
