"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"31";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;169;1031,748;1024,894;1,96;2564,408;975,371;1088,125;957,656;1105,84;56,377;74,092;976,65;959,275;933,329;896,779;373430,94;354858,178;340911,548;316088,159;1088,153;1107,324;1120,265;1148,276;456222,444;468837,002;481477,463;498444,691;643,193;642,661;605,645;685,741;562,789;438,998;594,482;699,926;584,125;421,385;0,853;0,858;-0,621;-0,62;10,342;0,02;1;0,891;0,655;0,87;0,922;0,983;0,237
"32";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;156;874,092;872,426;1,96;2564,408;804,693;943,491;782,887;965,297;69,399;91,205;808,993;778,009;763,322;723,162;522324,539;492420,09;466638,402;405596,477;944,87;964,933;988,423;1015,477;738615,051;773846,955;823971,289;872230,845;791,749;796,798;745,53;844,125;562,789;438,998;731,788;861,586;584,125;421,385;1,546;1,542;2,108;2,035;14,938;0,012;1;0,978;0,201;0,56;0,979;0,949;0,222
"33";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;148;132,088;131,326;1,96;2564,408;113,852;150,324;108,122;156,054;18,236;23,966;114,359;109,874;103,648;95,866;31984,776;29215,304;25762,157;21948,287;151,327;156,101;162,308;175,835;55787,469;60963,613;63887,91;68941,52;208,048;207,769;195,903;221,811;562,789;438,998;192,292;226,399;584,125;421,385;2,708;2,735;7,827;7,995;3,038;0,012;1;0,962;0,199;0,472;0,965;0,991;0,275
"34";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;141;308,694;306,952;1,96;2564,408;266,042;351,346;252,64;364,748;42,652;56,054;268,241;251,825;239,095;228,09;172205,276;153257,589;141657,003;117641,732;353,387;370,871;380,227;403,779;302779,636;320355,359;354381,557;380202,653;486,603;485,964;458,197;518,792;562,789;438,998;449,751;529,524;584,125;421,385;2,707;2,734;7,822;7,989;7,094;0,012;1;0,963;0,199;0,473;0,969;0,993;0,26
"35";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;149;171,978;172,64;1,96;2564,408;157,341;186,615;152,742;191,214;14,637;19,236;157,283;151,729;149,817;144,612;21199,433;19383,579;18221,801;15481,101;187,59;191,239;196,947;207,244;34863,274;36826,037;40772,47;43643,893;166,989;170,842;157,241;178,035;562,789;438,998;154,342;181,718;584,125;421,385;2,266;2,34;5,386;5,711;4,094;0,012;1;0,96;0,235;0,683;0,967;0,864;0,453
"36";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;123;173,63;170,58;1,96;2564,408;162,015;185,245;158,365;188,895;11,615;15,265;162,111;158,82;152,252;146,284;13910,433;12963,518;11564,773;10518,27;185,462;188,255;189,823;195,409;21409,315;22572,873;24811,261;26850,723;132,514;131,572;124,779;141,28;562,789;438,998;122,479;144,203;584,125;421,385;1,816;1,947;4,269;5,161;5,162;0,018;1;0,766;0,801;0,889;0,784;0,959;0,517
"37";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;262;91,794;92,03;1,96;2564,408;82,954;100,634;80,177;103,411;8,84;11,617;83,796;80,848;77,951;74,62;8108,466;7431,624;7417,29;6388,897;101,456;104,511;106,684;112,786;12240,04;12994,643;14655,187;16173,671;100,849;103,338;94,961;107,52;562,789;438,998;93,211;109,744;584,125;421,385;1,887;1,949;3,246;3,519;2,004;0,014;1;0,976;0,549;0,758;0,975;0,818;0,339
"38";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;130;87,312;86,7;1,96;2564,408;82,203;92,421;80,598;94,026;5,109;6,714;82,548;81,469;78,711;76,959;2761,383;2610,445;2321,669;2126,163;91,943;93,191;95,639;97,84;4093,407;4422,844;4648,274;5044,115;58,287;57,748;54,884;62,143;562,789;438,998;53,873;63,428;584,125;421,385;1,633;1,688;3,313;3,862;1,36;0,01;1;0,892;0,713;0,705;0,911;0,939;0,871
"39";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;259;97,408;97,168;1,96;2564,408;93,309;101,507;92,022;102,794;4,099;5,386;93,561;92,668;91,086;89,787;1567,988;1442,496;1358,541;1165,478;101,551;103,243;103,875;107,097;2924,792;3158,402;3483,517;4212,664;46,759;46,743;44,03;49,852;562,789;438,998;43,218;50,884;584,125;421,385;2,421;2,472;10,628;10,923;0,936;0,016;1;0,947;0,13;0,319;0,964;0,998;0,156
"40";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;252;0;0;1,96;2564,408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562,789;438,998;0;0;584,125;421,385;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
