TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,43.0,42.66
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,52.0,36.94
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,54.0,32.06
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,55.00000000000001,33.76
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,55.00000000000001,36.05
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,54.0,34.23
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,40.0,40.08
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,92.0,94.03
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,7.000000000000001,8.66
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,9.0,13.7
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,16.0,24.19
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,3.0,1.77
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,9.0,22.88
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,2.0,11.8
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,1.0,12.09
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,1.0,0.23
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_L_TEST,3,FALHOU_AO_MENOS_UMTESTE,1.0,0.34
