etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
BK,1,0,3,60,1.0,ANGRA3,3,54860.3,30.0,1.645809e6
BK,1,0,3,63,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,63,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,63,1.0,ANGRA3,3,54487.6,30.0,1.634628e6
BK,1,0,3,66,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,66,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,66,0.02,ANGRA3,3,55193.2,30.0,1.655796e6
BK,1,0,3,69,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,69,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,69,1.0,ANGRA3,3,54557.3,30.0,1.636719e6
BK,1,0,3,72,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,72,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,72,1.0,ANGRA3,3,54380.3,30.0,1.631409e6
BK,1,0,3,75,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,75,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,75,1.0,ANGRA3,3,54749.8,30.0,1.642494e6
BK,1,0,3,78,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,78,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,78,0.02,ANGRA3,3,54040.9,30.0,1.621227e6
BK,1,0,3,81,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,81,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,81,1.0,ANGRA3,3,54096.4,30.0,1.622892e6
BK,1,0,3,84,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,84,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,84,1.0,ANGRA3,3,54366.2,30.0,1.630986e6
BK,1,0,3,87,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,87,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,87,1.0,ANGRA3,3,54858.0,30.0,1.64574e6
BK,1,0,3,90,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,90,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,90,0.02,ANGRA3,3,55083.6,30.0,1.652508e6
BK,1,0,3,93,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,93,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,93,1.0,ANGRA3,3,54852.0,30.0,1.64556e6
BK,1,0,3,96,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,96,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,96,1.0,ANGRA3,3,53341.2,30.0,1.600236e6
BK,1,0,3,99,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,99,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,99,1.0,ANGRA3,3,54277.4,30.0,1.628322e6
BK,1,0,3,102,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,102,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,102,0.02,ANGRA3,3,53177.5,30.0,1.595325e6
BK,1,0,3,105,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,105,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,105,1.0,ANGRA3,3,55081.1,30.0,1.652433e6
BK,1,0,3,108,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,108,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,108,1.0,ANGRA3,3,55215.7,30.0,1.656471e6
BK,1,0,3,111,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,111,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,111,1.0,ANGRA3,3,55083.6,30.0,1.652508e6
BK,1,0,3,114,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,114,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,114,0.02,ANGRA3,3,55293.1,30.0,1.658793e6
BK,1,0,3,117,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,117,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,117,1.0,ANGRA3,3,54456.0,30.0,1.63368e6
BK,1,0,3,120,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,120,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,120,1.0,ANGRA3,3,55317.7,30.0,1.659531e6
BK,1,0,3,123,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,123,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,123,1.0,ANGRA3,3,55349.8,30.0,1.660494e6
BK,1,0,3,126,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,126,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,126,0.02,ANGRA3,3,54218.3,30.0,1.626549e6
BK,1,0,3,129,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,129,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,129,1.0,ANGRA3,3,53876.1,30.0,1.616283e6
BK,1,0,3,132,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,132,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,132,1.0,ANGRA3,3,55663.7,30.0,1.669911e6
BK,1,0,3,135,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,135,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,135,1.0,ANGRA3,3,55217.6,30.0,1.656528e6
BK,1,0,3,138,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,138,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,138,0.02,ANGRA3,3,54901.3,30.0,1.647039e6
BK,1,0,3,141,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,141,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,141,1.0,ANGRA3,3,54381.0,30.0,1.63143e6
BK,1,0,3,144,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,144,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,144,1.0,ANGRA3,3,53719.9,30.0,1.611597e6
BK,1,0,3,147,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,147,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,147,1.0,ANGRA3,3,54431.3,30.0,1.632939e6
BK,1,0,3,150,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,150,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,150,0.02,ANGRA3,3,54846.9,30.0,1.645407e6
BK,1,0,2,2,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,2,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,2,0.02,ANGRA3,3,61582.6,30.0,1.847478e6
BK,1,0,2,5,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,5,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,5,1.0,ANGRA3,3,52207.0,30.0,1.56621e6
BK,1,0,2,8,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,8,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,8,1.0,ANGRA3,3,61239.2,30.0,1.837176e6
BK,1,0,2,11,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,11,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,11,1.0,ANGRA3,3,61737.7,30.0,1.852131e6
BK,1,0,2,14,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,14,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,14,0.02,ANGRA3,3,61070.9,30.0,1.832127e6
BK,1,0,2,17,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,17,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,17,1.0,ANGRA3,3,52959.5,30.0,1.588785e6
BK,1,0,2,20,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,20,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,20,1.0,ANGRA3,3,61501.5,30.0,1.845045e6
BK,1,0,2,23,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,23,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,23,1.0,ANGRA3,3,61047.6,30.0,1.831428e6
BK,1,0,2,26,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,26,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,26,0.02,ANGRA3,3,60820.8,30.0,1.824624e6
BK,1,0,2,29,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,29,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,29,1.0,ANGRA3,3,52799.7,30.0,1.583991e6
BK,1,0,2,32,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,32,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,32,1.0,ANGRA3,3,60568.4,30.0,1.817052e6
BK,1,0,2,35,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,35,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,35,1.0,ANGRA3,3,60517.6,30.0,1.815528e6
BK,1,0,2,38,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,38,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,38,0.02,ANGRA3,3,61906.3,30.0,1.857189e6
BK,1,0,2,41,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,41,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,41,1.0,ANGRA3,3,52461.2,30.0,1.573836e6
BK,1,0,2,44,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,44,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,44,1.0,ANGRA3,3,60839.1,30.0,1.825173e6
BK,1,0,2,47,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,47,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,47,1.0,ANGRA3,3,61306.8,30.0,1.839204e6
BK,1,0,2,50,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,50,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,2,50,0.02,ANGRA3,3,59644.8,30.0,1.789344e6
BK,1,0,2,53,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,2,53,1.0,ANGRA2,2,50000.0,20.0,1.0e6
