etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
FW,3,0,3,24,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,3,24,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,3,0,3,27,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,3,27,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,3,27,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,3,0,3,30,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,3,30,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,3,30,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,3,0,4,4,1.0,ANGRA1,1,72570.5,10.0,725705.0
FW,3,0,4,4,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,4,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,7,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,3,0,4,7,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,7,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,10,1.0,ANGRA1,1,126552.5,10.0,1.265525e6
FW,3,0,4,10,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,10,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,13,1.0,ANGRA1,1,121989.5,10.0,1.219895e6
FW,3,0,4,13,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,13,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,16,1.0,ANGRA1,1,111831.5,10.0,1.118315e6
FW,3,0,4,16,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,16,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,19,1.0,ANGRA1,1,61880.5,10.0,618805.0
FW,3,0,4,19,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,4,19,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,22,1.0,ANGRA1,1,75744.5,10.0,757445.0
FW,3,0,4,22,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,22,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,25,1.0,ANGRA1,1,84017.5,10.0,840175.0
FW,3,0,4,25,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,4,25,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,28,1.0,ANGRA1,1,68455.5,10.0,684555.0
FW,3,0,4,28,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,4,28,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,4,31,1.0,ANGRA1,1,56093.5,10.0,560935.0
FW,3,0,4,31,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,4,31,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,1,1,1.0,ANGRA1,1,90433.3,10.0,904333.0
FW,4,0,1,1,1.0,ANGRA2,2,0.0,20.0,0.0
FW,4,0,1,1,1.0,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,2,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,2,0.1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,2,2,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,2,5,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,5,0.1,ANGRA2,2,-0.0,20.0,-0.0
FW,4,0,2,5,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,8,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,8,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,8,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,11,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,11,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,11,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,14,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,14,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,14,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,17,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,17,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,17,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,4,0,2,20,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,20,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,20,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,23,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,23,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,23,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,26,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,26,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,26,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,2,29,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,2,29,0.1,ANGRA2,2,0.0,20.0,0.0
FW,4,0,2,29,0.1,ANGRA3,3,0.0,30.0,0.0
FW,4,0,3,3,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,4,0,3,3,1.0,ANGRA2,2,0.0,20.0,0.0
FW,4,0,3,3,1.0,ANGRA3,3,0.0,30.0,0.0
