etapa,iter,miniIter,est,node,prob,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,15,0,1,1,1.0,122,122,51.839999999999996,264.0,12.0,144.0,0.0,259.0
FW,15,0,1,1,1.0,123,123,216.72000000000003,533.0,190.0,387.0,0.0,544.0
FW,15,0,1,1,1.0,132,132,0.0,373.0,18.0,0.0,19.0,372.0
FW,15,0,1,1,1.0,197,197,25.52,6.0,23.0,22.0,0.0,7.0
FW,15,0,1,1,1.0,198,198,41.76,1.0,36.0,58.0,0.0,1.0
FW,15,0,1,1,1.0,126,126,290.46,126.0,612.0,309.0,361.0,126.0
FW,15,0,1,1,1.0,299,299,209.95999999999998,8.0,936.0,724.0,882.0,8.0
FW,15,0,1,1,1.0,306,306,98.58,17.0,148.0,318.0,448.0,17.0
FW,15,0,1,1,1.0,134,134,70.84,78.0,92.0,92.0,0.0,78.0
FW,15,0,1,1,1.0,263,263,29.11,68.0,0.0,71.0,0.0,89.0
FW,15,0,1,1,1.0,149,149,43.239999999999995,54.0,92.0,92.0,0.0,54.0
FW,15,0,1,1,1.0,148,148,126.0,156.0,93.0,504.0,0.0,185.0
FW,15,0,1,1,1.0,144,144,136.8,21.0,180.0,684.0,0.0,21.0
FW,15,0,1,1,1.0,262,262,51.0,12.0,50.0,50.0,0.0,12.0
FW,15,0,1,1,1.0,183,183,46.92,1.0,1.0,51.0,0.0,1.0
FW,15,0,1,1,1.0,196,196,54.08,11.0,38.0,32.0,6.0,11.0
FW,15,0,1,1,1.0,279,279,236.60000000000002,1425.0,620.0,845.0,0.0,1200.0
FW,15,0,1,1,1.0,255,255,0.0,3116.0,73.0,0.0,614.0,2575.0
FW,15,0,1,1,1.0,283,283,32.85,146.0,73.0,73.0,0.0,146.0
FW,15,0,1,1,1.0,1,1,0.0,289.0,94.0,0.0,0.0,383.0
FW,15,0,1,1,1.0,2,2,0.0,11.0,0.0,0.0,0.0,11.0
FW,15,0,1,1,1.0,6,6,555.8184632243094,8014.0,398.0,686.1956336102585,0.0,7876.804366389945
FW,15,0,1,1,1.0,7,7,0.0,2446.0,95.0,0.0,0.0,3227.1956336102585
FW,15,0,1,1,1.0,8,8,11.34,1423.0,21.0,21.0,0.0,1423.0
FW,15,0,1,1,1.0,9,9,11.700000000000001,450.0,9.0,30.0,0.0,450.0
FW,15,0,1,1,1.0,10,10,8.4,480.0,26.0,56.00000000000001,-7.105427357601002e-15,480.0
FW,15,0,1,1,1.0,11,11,28.75,2244.0,59.0,115.0,0.0,2244.0
FW,15,0,1,1,1.0,12,12,42.4,1524.0,97.0,211.99999999999997,0.0,1524.0
FW,15,0,1,1,1.0,14,14,0.0,242.0,38.0,0.0,0.0,280.0
FW,15,0,1,1,1.0,15,15,18.0,14.0,24.0,24.0,0.0,14.0
FW,15,0,1,1,1.0,16,16,5.75,25.0,1.0,25.0,0.0,25.0
FW,15,0,1,1,1.0,17,17,0.0,2106.0,255.0,0.0,0.0,2598.0
FW,15,0,1,1,1.0,18,18,666.08,7081.0,223.0,1448.0,0.0,5856.0
FW,15,0,1,1,1.0,34,34,3477.63,16972.0,305.0,9399.0,0.0,15194.0
FW,15,0,1,1,1.0,24,24,1215.6799999999998,6340.0,297.0,1048.0,0.0,5589.0
FW,15,0,1,1,1.0,25,25,558.72,4152.0,269.0,576.0,94.0,3751.0
FW,15,0,1,1,1.0,206,206,418.5,1114.0,11.0,675.0,0.0,1120.0
FW,15,0,1,1,1.0,209,209,346.5,784.0,236.0,550.0,0.0,470.0
FW,15,0,1,1,1.0,31,31,2058.0,6604.0,255.0,2940.0,0.0,6206.0
FW,15,0,1,1,1.0,32,32,678.51,460.0,43.0,2513.0,470.0,460.0
FW,15,0,1,1,1.0,33,33,1682.1,8850.0,652.0,2670.0,2815.0,7000.0
FW,15,0,1,1,1.0,37,37,83.52,1946.0,267.0,464.0,0.0,1749.0
FW,15,0,1,1,1.0,38,38,146.48999999999998,544.0,307.0,770.9999999999999,0.0,544.0
FW,15,0,1,1,1.0,39,39,126.36,985.0,388.0,702.0,457.0,985.0
FW,15,0,1,1,1.0,40,40,271.53,6192.0,446.0,1293.0,0.0,6504.0
FW,15,0,1,1,1.0,42,42,400.68000000000006,2720.0,471.0,1431.0,333.0,2720.0
FW,15,0,1,1,1.0,43,43,872.0,12194.0,505.0,2180.0,0.0,12283.0
FW,15,0,1,1,1.0,45,45,1501.92,3354.0,5060.0,8344.0,8295.0,3354.0
FW,15,0,1,1,1.0,46,46,1424.64,14400.0,5878.0,8904.0,13719.0,14400.0
FW,15,0,1,1,1.0,278,278,204.0,5937.0,138.0,400.0,0.0,5675.0
FW,15,0,1,1,1.0,47,47,101.92000000000002,4754.0,238.0,364.0,672.3442038298127,3955.6557961701874
FW,15,0,1,1,1.0,49,49,388.12,6434.0,116.0,626.0,1211.3442038298126,5754.0
FW,15,0,1,1,1.0,50,50,87.0,45.0,68.0,580.0,1327.3442038298126,45.0
FW,15,0,1,1,1.0,51,51,72.93,151.0,5.0,561.0,1351.3442038298126,151.0
FW,15,0,1,1,1.0,52,52,85.05,212.0,11.0,567.0,1356.3442038298126,212.0
