"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"78";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;168;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"79";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;169;846,106;846,106;1,96;35,703;810,403;881,809;407,326;407,326;383,548;434,271;562,789;438,998;0,736;0,736;-0,835;-0,835;0;0;1;1;1;1;1;1;1
"80";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;171;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"81";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;172;1229,724;1229,724;1,96;50,238;1179,486;1279,962;573,15;573,15;539,692;611,065;562,789;438,998;0,734;0,734;-0,953;-0,953;0;0;1;1;1;1;1;1;1
"82";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;173;1229,724;1229,724;1,96;50,238;1179,486;1279,962;573,15;573,15;539,692;611,065;562,789;438,998;0,734;0,734;-0,953;-0,953;0;0;1;1;1;1;1;1;1
"83";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;175;1229,724;1229,724;1,96;50,238;1179,486;1279,962;573,15;573,15;539,692;611,065;562,789;438,998;0,734;0,734;-0,953;-0,953;0;0;1;1;1;1;1;1;1
"84";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;176;1229,724;1229,724;1,96;50,238;1179,486;1279,962;573,15;573,15;539,692;611,065;562,789;438,998;0,734;0,734;-0,953;-0,953;0;0;1;1;1;1;1;1;1
"85";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;178;1229,724;1229,724;1,96;50,238;1179,486;1279,962;573,15;573,15;539,692;611,065;562,789;438,998;0,734;0,734;-0,953;-0,953;0;0;1;1;1;1;1;1;1
"86";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;183;1,244;1,244;1,96;0,04;1,204;1,284;0,461;0,461;0,434;0,491;562,789;438,998;0,755;0,755;-0,333;-0,333;0;0;1;1;1;1;0,973;0,995;1
"87";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;188;13,74;13,74;1,96;0,582;13,158;14,322;6,645;6,645;6,257;7,084;562,789;438,998;0,466;0,466;-1,48;-1,48;0;0;1;1;1;1;0,999;1;1
